Time_GMT	Temp_C					
6/28/2014 6:00	16.78653623					
6/28/2014 6:30	16.78653623					
6/28/2014 7:00	16.66053623					
6/28/2014 7:30	16.59853623					
6/28/2014 8:00	15.91053623					
6/28/2014 8:30	13.91053623					
6/28/2014 9:00	11.66053623					
6/28/2014 9:30	11.03653623					
6/28/2014 10:00	10.84853623					
6/28/2014 10:30	11.59853623					
6/28/2014 11:00	12.03653623					
6/28/2014 11:30	13.66053623					
6/28/2014 12:00	15.59853623					
6/28/2014 12:30	18.03653623					
6/28/2014 13:00	17.47353623					
6/28/2014 13:30	17.28653623					
6/28/2014 14:00	17.22353623					
6/28/2014 14:30	17.22353623					
6/28/2014 15:00	17.16053623					
6/28/2014 15:30	17.16053623					
6/28/2014 16:00	17.16053623					
6/28/2014 16:30	17.16053623					
6/28/2014 17:00	17.09853623					
6/28/2014 17:30	17.09853623					
6/28/2014 18:00	17.09853623					
6/28/2014 18:30	17.03653623					
6/28/2014 19:00	16.97353623					
6/28/2014 19:30	16.91053623					
6/28/2014 20:00	16.53653623					
6/28/2014 20:30	16.22353623					
6/28/2014 21:00	13.91053623					
6/28/2014 21:30	12.78653623					
6/28/2014 22:00	13.16053623					
6/28/2014 22:30	11.84853623					
6/28/2014 23:00	11.28653623					
6/28/2014 23:30	10.66053623					
6/29/2014 0:00	11.41053623					
6/29/2014 0:30	10.47353623					
6/29/2014 1:00	14.16053623					
6/29/2014 1:30	16.41053623					
6/29/2014 2:00	16.59853623					
6/29/2014 2:30	16.66053623					
6/29/2014 3:00	16.72353623					
6/29/2014 3:30	16.72353623					
6/29/2014 4:00	16.72353623					
6/29/2014 4:30	16.66053623					
6/29/2014 5:00	16.66053623					
6/29/2014 5:30	16.66053623					
6/29/2014 6:00	16.66053623					
6/29/2014 6:30	16.66053623					
6/29/2014 7:00	16.59853623					
6/29/2014 7:30	16.53653623					
6/29/2014 8:00	15.53653623					
6/29/2014 8:30	13.97353623					
6/29/2014 9:00	12.91053623					
6/29/2014 9:30	13.28653623					
6/29/2014 10:00	14.03653623					
6/29/2014 10:30	14.78653623					
6/29/2014 11:00	14.72353623					
6/29/2014 11:30	14.97353623					
6/29/2014 12:00	16.09853623					
6/29/2014 12:30	22.22353623					
6/29/2014 13:00	21.41053623					
6/29/2014 13:30	19.09853623					
6/29/2014 14:00	17.47353623					
6/29/2014 14:30	17.16053623					
6/29/2014 15:00	17.09853623					
6/29/2014 15:30	17.09853623					
6/29/2014 16:00	17.09853623					
6/29/2014 16:30	17.09853623					
6/29/2014 17:00	17.03653623					
6/29/2014 17:30	17.03653623					
6/29/2014 18:00	17.03653623					
6/29/2014 18:30	16.97353623					
6/29/2014 19:00	16.97353623					
6/29/2014 19:30	16.91053623					
6/29/2014 20:00	16.78653623					
6/29/2014 20:30	15.78653623					
6/29/2014 21:00	14.66053623					
6/29/2014 21:30	13.91053623					
6/29/2014 22:00	12.84853623					
6/29/2014 22:30	12.59853623					
6/29/2014 23:00	12.22353623					
6/29/2014 23:30	11.53653623					
6/30/2014 0:00	12.03653623					
6/30/2014 0:30	14.09853623					
6/30/2014 1:00	14.66053623					
6/30/2014 1:30	16.03653623					
6/30/2014 2:00	16.53653623					
6/30/2014 2:30	16.66053623					
6/30/2014 3:00	16.59853623					
6/30/2014 3:30	16.66053623					
6/30/2014 4:00	16.72353623					
6/30/2014 4:30	16.78653623					
6/30/2014 5:00	16.78653623					
6/30/2014 5:30	16.72353623					
6/30/2014 6:00	16.72353623					
6/30/2014 6:30	16.72353623					
6/30/2014 7:00	16.72353623					
6/30/2014 7:30	16.66053623					
6/30/2014 8:00	16.66053623					
6/30/2014 8:30	16.59853623					
6/30/2014 9:00	16.59853623					
6/30/2014 9:30	16.41053623					
6/30/2014 10:00	16.59853623					
6/30/2014 10:30	16.28653623					
6/30/2014 11:00	16.53653623					
6/30/2014 11:30	16.72353623					
6/30/2014 12:00	18.47353623					
6/30/2014 12:30	20.34853623					
6/30/2014 13:00	18.84853623					
6/30/2014 13:30	19.41053623					
6/30/2014 14:00	17.53653623					
6/30/2014 14:30	17.22353623					
6/30/2014 15:00	17.09853623					
6/30/2014 15:30	17.16053623					
6/30/2014 16:00	17.16053623					
6/30/2014 16:30	17.09853623					
6/30/2014 17:00	17.03653623					
6/30/2014 17:30	17.03653623					
6/30/2014 18:00	17.03653623					
6/30/2014 18:30	17.03653623					
6/30/2014 19:00	17.03653623					
